# [2025-02-18 16:19:10,120] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:19:12,632] INFO: Setting up the training loop
# [2025-02-18 16:19:13,921] INFO: Initializing parameters and states
# [2025-02-18 16:19:23,513] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:19:31,114] INFO: Start training
# HF energy from loaded: -86.35355428968002
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
598	-87.0369	-87.0369	-61.0804	0.7018	61.9146	0.7122	2.7e-04	9.7640
599	-87.0661	-87.0661	-60.8845	0.6993	62.1683	0.7145	2.7e-04	9.7620
600	-87.0567	-87.0567	-60.7596	0.6979	62.2790	0.7160	2.7e-04	9.7549
601	-87.0309	-87.0309	-60.9530	0.7004	62.0439	0.7132	2.7e-04	9.7499
602	-87.0317	-87.0318	-60.5752	0.6960	62.4379	0.7180	2.7e-04	9.7633
603	-87.0753	-87.0753	-61.3882	0.7050	61.6820	0.7091	2.7e-04	9.7616
604	-87.0530	-87.0530	-62.4147	0.7170	60.6462	0.6970	2.7e-04	9.7617
605	-87.0596	-87.0596	-61.6650	0.7083	61.3936	0.7058	2.7e-04	9.7584
606	-87.0402	-87.0402	-61.7145	0.7090	61.3184	0.7052	2.7e-04	9.7532
607	-87.0556	-87.0556	-61.9674	0.7118	61.0717	0.7022	2.7e-04	9.7537
608	-87.0228	-87.0228	-62.3301	0.7163	60.6807	0.6978	2.7e-04	9.7593
609	-87.0786	-87.0786	-62.9764	0.7232	60.0661	0.6906	2.7e-04	9.7566
610	-87.0226	-87.0226	-62.3246	0.7162	60.6741	0.6978	2.7e-04	9.7610
611	-87.0245	-87.0245	-62.4039	0.7171	60.6007	0.6969	2.7e-04	9.7613
612	-87.0402	-87.0402	-62.6298	0.7196	60.3857	0.6944	2.7e-04	9.7639
613	-87.0679	-87.0679	-61.5493	0.7069	61.5118	0.7072	2.7e-04	9.7645
614	-87.0294	-87.0294	-62.1796	0.7145	60.8433	0.6996	2.7e-04	9.7644
615	-87.0638	-87.0638	-61.6301	0.7079	61.4193	0.7063	2.7e-04	9.7623
616	-87.0477	-87.0477	-62.3275	0.7160	60.7031	0.6981	2.7e-04	9.7664
617	-87.0457	-87.0457	-62.6605	0.7199	60.3817	0.6941	2.7e-04	9.7672
618	-87.0740	-87.0740	-61.4720	0.7060	61.5981	0.7082	2.7e-04	9.7613
619	-87.0800	-87.0800	-62.2350	0.7147	60.8467	0.6994	2.7e-04	9.7657
