# [2025-01-05 13:14:22,660] INFO: Loading Hamiltonian from saved file
# [2025-01-05 13:14:24,588] INFO: Setting up the training loop
# [2025-01-05 13:14:25,808] INFO: Initializing parameters and states
# [2025-01-05 13:14:34,999] INFO: Burning in the sampler for 100 steps
# [2025-01-05 13:14:42,909] INFO: Start training
# HF energy from loaded: -108.60622571587143
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
158	-109.0356	-109.0356	-107.6937	0.9877	17.0291	0.1563	2.9e-04	0.5396
159	-109.0353	-109.0353	-107.6494	0.9873	17.3095	0.1589	2.9e-04	0.5375
160	-109.0397	-109.0397	-107.6790	0.9875	17.1581	0.1575	2.9e-04	0.5388
161	-109.0485	-109.0485	-107.6502	0.9872	17.3800	0.1595	2.9e-04	0.5368
162	-109.0722	-109.0722	-107.6902	0.9873	17.2878	0.1587	2.9e-04	0.5386
163	-109.0335	-109.0335	-107.6909	0.9877	17.0284	0.1563	2.9e-04	0.5390
164	-109.0353	-109.0353	-107.6300	0.9871	17.4262	0.1600	2.9e-04	0.5384
165	-109.0297	-109.0297	-107.6422	0.9873	17.3227	0.1590	2.9e-04	0.5401
166	-109.0421	-109.0421	-107.6536	0.9873	17.3248	0.1591	2.9e-04	0.5399
167	-109.0405	-109.0405	-107.6425	0.9872	17.3832	0.1596	2.9e-04	0.5399
168	-109.0278	-109.0278	-107.6632	0.9875	17.1752	0.1577	2.9e-04	0.5381
169	-109.0598	-109.0598	-107.6524	0.9871	17.4452	0.1601	2.9e-04	0.5387
170	-109.0277	-109.0277	-107.6469	0.9873	17.2827	0.1586	2.9e-04	0.5376
171	-109.0456	-109.0456	-107.6488	0.9872	17.3747	0.1595	2.9e-04	0.5405
172	-109.0475	-109.0475	-107.6318	0.9870	17.4924	0.1606	2.9e-04	0.5389
173	-109.0427	-109.0427	-107.6578	0.9873	17.3077	0.1589	2.9e-04	0.5407
174	-109.0398	-109.0398	-107.6253	0.9870	17.4850	0.1605	2.9e-04	0.5376
175	-109.0474	-109.0474	-107.6463	0.9872	17.4102	0.1598	2.9e-04	0.5369
176	-109.0665	-109.0665	-107.7039	0.9875	17.1692	0.1576	2.9e-04	0.5390
177	-109.0332	-109.0332	-107.6416	0.9872	17.3464	0.1593	2.9e-04	0.5400
178	-109.0298	-109.0298	-107.6205	0.9871	17.4516	0.1602	2.9e-04	0.5380
179	-109.0239	-109.0239	-107.5575	0.9866	17.7975	0.1634	2.9e-04	0.5394
180	-109.0395	-109.0395	-107.5985	0.9868	17.6483	0.1620	2.9e-04	0.5387
181	-109.0534	-109.0534	-107.6170	0.9868	17.6216	0.1618	2.9e-04	0.5391
182	-109.0604	-109.0604	-107.5900	0.9865	17.8311	0.1637	2.9e-04	0.5392
183	-109.0343	-109.0343	-107.5631	0.9865	17.8289	0.1637	2.9e-04	0.5375
184	-109.0236	-109.0236	-107.5446	0.9864	17.8796	0.1642	2.9e-04	0.5402
185	-109.0465	-109.0465	-107.5301	0.9861	18.1060	0.1662	2.9e-04	0.5384
186	-109.0371	-109.0371	-107.5162	0.9861	18.1101	0.1662	2.9e-04	0.5385
187	-109.0384	-109.0384	-107.5171	0.9860	18.1289	0.1664	2.9e-04	0.5395
188	-109.0389	-109.0389	-107.4939	0.9858	18.2701	0.1677	2.9e-04	0.5408
189	-109.0486	-109.0486	-107.4510	0.9853	18.5822	0.1705	2.9e-04	0.5375
190	-109.0467	-109.0467	-107.4739	0.9856	18.4388	0.1692	2.9e-04	0.5389
191	-109.0464	-109.0464	-107.4661	0.9855	18.4780	0.1696	2.9e-04	0.5393
192	-109.0522	-109.0522	-107.4802	0.9856	18.4341	0.1692	2.9e-04	0.5400
193	-109.0523	-109.0523	-107.4475	0.9853	18.6189	0.1709	2.9e-04	0.5379
194	-109.0617	-109.0617	-107.4222	0.9850	18.8204	0.1727	2.9e-04	0.5394
195	-109.0490	-109.0490	-107.4106	0.9850	18.8024	0.1726	2.9e-04	0.5397
196	-109.0435	-109.0435	-107.3976	0.9849	18.8550	0.1731	2.9e-04	0.5386
197	-109.0496	-109.0496	-107.3685	0.9846	19.0478	0.1748	2.9e-04	0.5727
198	-109.0502	-109.0502	-107.3854	0.9847	18.9580	0.1740	2.9e-04	0.5380
199	-109.0539	-109.0539	-107.4069	0.9849	18.8603	0.1731	2.9e-04	0.5388
200	-109.0519	-109.0519	-107.3533	0.9844	19.1540	0.1758	2.9e-04	0.5374
201	-109.0638	-109.0638	-107.3514	0.9843	19.2314	0.1765	2.9e-04	0.5360
202	-109.0437	-109.0437	-107.2678	0.9837	19.5798	0.1797	2.9e-04	0.5391
203	-109.0400	-109.0400	-107.2738	0.9838	19.5210	0.1792	2.9e-04	0.5380
204	-109.0317	-109.0317	-107.2724	0.9839	19.4884	0.1789	2.9e-04	0.5408
